epoch,a,b
883,3.43905,4.68249
884,3.43964,4.68319
885,3.44022,4.68389
886,3.44081,4.68459
887,3.4414,4.68529
888,3.44198,4.68599
889,3.44257,4.68669
890,3.44315,4.68739
891,3.44373,4.68809
892,3.44431,4.68878
893,3.4449,4.68948
894,3.44548,4.69017
895,3.44606,4.69087
896,3.44664,4.69156
897,3.44722,4.69226
898,3.4478,4.69295
899,3.44838,4.69364
900,3.44895,4.69433
901,3.44953,4.69502
902,3.45011,4.69571
903,3.45068,4.6964
904,3.45126,4.69709
905,3.45183,4.69778
906,3.45241,4.69847
907,3.45298,4.69915
908,3.45356,4.69984
909,3.45413,4.70052
910,3.4547,4.70121
911,3.45527,4.70189
912,3.45584,4.70258
913,3.45641,4.70326
914,3.45698,4.70394
915,3.45755,4.70462
916,3.45812,4.70531
917,3.45869,4.70599
918,3.45926,4.70667
919,3.45982,4.70734
920,3.46039,4.70802
921,3.46095,4.7087
922,3.46152,4.70938
923,3.46208,4.71006
924,3.46265,4.71073
925,3.46321,4.71141
926,3.46378,4.71208
927,3.46434,4.71276
928,3.4649,4.71343
929,3.46546,4.7141
930,3.46602,4.71478
931,3.46658,4.71545
932,3.46714,4.71612
933,3.4677,4.71679
934,3.46826,4.71746
935,3.46882,4.71813
936,3.46938,4.7188
937,3.46993,4.71946
938,3.47049,4.72013
939,3.47104,4.7208
940,3.4716,4.72147
941,3.47215,4.72213
942,3.47271,4.7228
943,3.47326,4.72346
944,3.47382,4.72412
945,3.47437,4.72479
946,3.47492,4.72545
947,3.47547,4.72611
948,3.47602,4.72677
949,3.47657,4.72744
950,3.47712,4.7281
951,3.47767,4.72876
952,3.47822,4.72941
953,3.47877,4.73007
954,3.47932,4.73073
955,3.47987,4.73139
956,3.48041,4.73205
957,3.48096,4.7327
958,3.48151,4.73336
959,3.48205,4.73401
960,3.4826,4.73467
961,3.48314,4.73532
962,3.48368,4.73597
963,3.48423,4.73663
964,3.48477,4.73728
965,3.48531,4.73793
966,3.48585,4.73858
967,3.4864,4.73923
968,3.48694,4.73988
969,3.48748,4.74053
970,3.48802,4.74118
971,3.48856,4.74183
972,3.48909,4.74248
973,3.48963,4.74312
974,3.49017,4.74377
975,3.49071,4.74441
976,3.49124,4.74506
977,3.49178,4.7457
978,3.49232,4.74635
979,3.49285,4.74699
980,3.49339,4.74764
981,3.49392,4.74828
982,3.49445,4.74892
983,3.49499,4.74956
984,3.49552,4.7502
985,3.49605,4.75084
986,3.49658,4.75148
987,3.49711,4.75212
988,3.49765,4.75276
989,3.49818,4.7534
990,3.49871,4.75404
991,3.49923,4.75467
992,3.49976,4.75531
993,3.50029,4.75594
994,3.50082,4.75658
995,3.50135,4.75721
996,3.50187,4.75785
997,3.5024,4.75848
998,3.50293,4.75912
999,3.50345,4.75975
1000,3.50398,4.76038
1001,3.5045,4.76101
1002,3.50502,4.76164
1003,3.50555,4.76227
1004,3.50607,4.7629
1005,3.50659,4.76353
1006,3.50712,4.76416
1007,3.50764,4.76479
1008,3.50816,4.76542
1009,3.50868,4.76604
1010,3.5092,4.76667
1011,3.50972,4.7673
1012,3.51024,4.76792
1013,3.51076,4.76855
1014,3.51127,4.76917
1015,3.51179,4.7698
1016,3.51231,4.77042
1017,3.51283,4.77104
1018,3.51334,4.77167
1019,3.51386,4.77229
1020,3.51437,4.77291
1021,3.51489,4.77353
1022,3.5154,4.77415
1023,3.51592,4.77477
1024,3.51643,4.77539
1025,3.51695,4.77601
1026,3.51746,4.77663
1027,3.51797,4.77724
1028,3.51848,4.77786
1029,3.51899,4.77848
1030,3.5195,4.7791
1031,3.52001,4.77971
1032,3.52052,4.78033
1033,3.52103,4.78094
1034,3.52154,4.78156
1035,3.52205,4.78217
1036,3.52256,4.78278
1037,3.52307,4.78339
1038,3.52358,4.78401
1039,3.52408,4.78462
1040,3.52459,4.78523
1041,3.52509,4.78584
1042,3.5256,4.78645
1043,3.52611,4.78706
1044,3.52661,4.78767
1045,3.52711,4.78828
1046,3.52762,4.78889
1047,3.52812,4.78949
1048,3.52862,4.7901
1049,3.52913,4.79071
1050,3.52963,4.79131
1051,3.53013,4.79192
1052,3.53063,4.79252
1053,3.53113,4.79313
1054,3.53163,4.79373
1055,3.53213,4.79434
1056,3.53263,4.79494
1057,3.53313,4.79554
1058,3.53363,4.79615
1059,3.53413,4.79675
1060,3.53462,4.79735
1061,3.53512,4.79795
1062,3.53562,4.79855
1063,3.53611,4.79915
1064,3.53661,4.79975
1065,3.53711,4.80035
1066,3.5376,4.80095
1067,3.5381,4.80154
1068,3.53859,4.80214
1069,3.53908,4.80274
1070,3.53958,4.80333
1071,3.54007,4.80393
1072,3.54056,4.80453
1073,3.54105,4.80512
1074,3.54155,4.80572
1075,3.54204,4.80631
1076,3.54253,4.8069
1077,3.54302,4.8075
1078,3.54351,4.80809
1079,3.544,4.80868
1080,3.54449,4.80927
1081,3.54498,4.80986
1082,3.54547,4.81045
1083,3.54595,4.81104
1084,3.54644,4.81163
1085,3.54693,4.81222
1086,3.54741,4.81281
1087,3.5479,4.8134
1088,3.54839,4.81399
1089,3.54887,4.81458
1090,3.54936,4.81516
1091,3.54984,4.81575
1092,3.55033,4.81634
1093,3.55081,4.81692
1094,3.55129,4.81751
1095,3.55178,4.81809
1096,3.55226,4.81868
1097,3.55274,4.81926
1098,3.55322,4.81984
1099,3.5537,4.82043
1100,3.55419,4.82101
1101,3.55467,4.82159
1102,3.55515,4.82217
1103,3.55563,4.82275
1104,3.55611,4.82333
1105,3.55658,4.82391
1106,3.55706,4.82449
1107,3.55754,4.82507
1108,3.55802,4.82565
1109,3.5585,4.82623
1110,3.55897,4.82681
1111,3.55945,4.82738
1112,3.55993,4.82796
1113,3.5604,4.82854
1114,3.56088,4.82911
1115,3.56135,4.82969
1116,3.56183,4.83026
1117,3.5623,4.83084
1118,3.56278,4.83141
1119,3.56325,4.83199
1120,3.56372,4.83256
1121,3.5642,4.83313
1122,3.56467,4.83371
1123,3.56514,4.83428
1124,3.56561,4.83485
1125,3.56608,4.83542
1126,3.56655,4.83599
1127,3.56702,4.83656
1128,3.56749,4.83713
1129,3.56796,4.8377
