epoch,m,b
474,1.54659,0.44937
475,1.54664,0.449239
476,1.5467,0.449107
477,1.54675,0.448975
478,1.54681,0.448843
479,1.54686,0.448712
480,1.54691,0.44858
481,1.54697,0.448448
482,1.54702,0.448317
483,1.54707,0.448185
484,1.54713,0.448053
485,1.54718,0.447921
486,1.54723,0.44779
487,1.54728,0.447658
488,1.54734,0.447526
489,1.54739,0.447394
490,1.54744,0.447263
491,1.54749,0.447131
492,1.54754,0.446999
493,1.5476,0.446868
494,1.54765,0.446736
495,1.5477,0.446604
496,1.54775,0.446472
497,1.5478,0.446341
498,1.54785,0.446209
499,1.5479,0.446077
500,1.54796,0.445946
501,1.54801,0.445814
502,1.54806,0.445682
503,1.54811,0.445551
504,1.54816,0.445419
505,1.54821,0.445287
506,1.54826,0.445156
507,1.54831,0.445024
508,1.54836,0.444893
509,1.54841,0.444761
510,1.54846,0.444629
511,1.54851,0.444498
512,1.54856,0.444366
513,1.54861,0.444235
514,1.54866,0.444103
515,1.54871,0.443972
516,1.54876,0.44384
517,1.54881,0.443709
518,1.54886,0.443577
519,1.54891,0.443446
520,1.54896,0.443314
521,1.54901,0.443183
522,1.54905,0.443052
523,1.5491,0.44292
524,1.54915,0.442789
525,1.5492,0.442658
526,1.54925,0.442526
527,1.5493,0.442395
528,1.54935,0.442264
529,1.5494,0.442132
530,1.54944,0.442001
531,1.54949,0.44187
532,1.54954,0.441739
533,1.54959,0.441608
534,1.54964,0.441476
535,1.54968,0.441345
536,1.54973,0.441214
537,1.54978,0.441083
538,1.54983,0.440952
539,1.54988,0.440821
540,1.54992,0.44069
541,1.54997,0.440559
542,1.55002,0.440428
543,1.55007,0.440297
544,1.55011,0.440166
545,1.55016,0.440035
546,1.55021,0.439904
547,1.55026,0.439773
548,1.5503,0.439643
549,1.55035,0.439512
550,1.5504,0.439381
551,1.55045,0.43925
552,1.55049,0.43912
553,1.55054,0.438989
554,1.55059,0.438858
555,1.55063,0.438728
556,1.55068,0.438597
557,1.55073,0.438466
558,1.55077,0.438336
559,1.55082,0.438205
560,1.55087,0.438075
561,1.55091,0.437944
562,1.55096,0.437814
563,1.55101,0.437683
564,1.55105,0.437553
565,1.5511,0.437423
566,1.55115,0.437292
567,1.55119,0.437162
568,1.55124,0.437032
569,1.55129,0.436901
570,1.55133,0.436771
571,1.55138,0.436641
572,1.55142,0.436511
573,1.55147,0.436381
574,1.55152,0.43625
575,1.55156,0.43612
576,1.55161,0.43599
577,1.55165,0.43586
578,1.5517,0.43573
579,1.55175,0.4356
580,1.55179,0.43547
581,1.55184,0.435341
582,1.55188,0.435211
583,1.55193,0.435081
584,1.55197,0.434951
585,1.55202,0.434821
586,1.55207,0.434692
587,1.55211,0.434562
588,1.55216,0.434432
589,1.5522,0.434303
590,1.55225,0.434173
591,1.55229,0.434043
592,1.55234,0.433914
593,1.55238,0.433784
594,1.55243,0.433655
595,1.55247,0.433525
596,1.55252,0.433396
597,1.55256,0.433266
598,1.55261,0.433137
599,1.55266,0.433008
600,1.5527,0.432879
601,1.55275,0.432749
602,1.55279,0.43262
603,1.55284,0.432491
604,1.55288,0.432362
605,1.55293,0.432233
606,1.55297,0.432103
607,1.55302,0.431974
608,1.55306,0.431845
609,1.55311,0.431716
610,1.55315,0.431587
611,1.55319,0.431459
612,1.55324,0.43133
613,1.55328,0.431201
614,1.55333,0.431072
615,1.55337,0.430943
616,1.55342,0.430814
617,1.55346,0.430686
618,1.55351,0.430557
619,1.55355,0.430428
620,1.5536,0.4303
621,1.55364,0.430171
622,1.55369,0.430043
623,1.55373,0.429914
624,1.55377,0.429786
625,1.55382,0.429657
626,1.55386,0.429529
627,1.55391,0.4294
628,1.55395,0.429272
629,1.554,0.429144
630,1.55404,0.429015
631,1.55409,0.428887
632,1.55413,0.428759
633,1.55417,0.428631
634,1.55422,0.428503
635,1.55426,0.428375
636,1.55431,0.428247
637,1.55435,0.428119
638,1.55439,0.427991
639,1.55444,0.427863
640,1.55448,0.427735
641,1.55453,0.427607
642,1.55457,0.427479
643,1.55462,0.427351
644,1.55466,0.427223
645,1.5547,0.427096
646,1.55475,0.426968
647,1.55479,0.42684
648,1.55484,0.426713
649,1.55488,0.426585
650,1.55492,0.426457
651,1.55497,0.42633
652,1.55501,0.426202
653,1.55505,0.426075
654,1.5551,0.425947
655,1.55514,0.42582
656,1.55519,0.425693
657,1.55523,0.425565
658,1.55527,0.425438
659,1.55532,0.425311
